id,brand,model,price,processor,ram memory,display size,storage capacity
9fac65dd0c,lenovo,Ideapad Celeron,13,1,1,7,3
4e72a3cab5,asus,ZenBook Q410VA,16,3,2,7,4
63334ec0ef,dell,Vostro 3520,11,3,2,11,4
fbf1ce919e,asus,Zenbook 14,15,3,2,7,4
767a5286f4,asus,VivoBook F415EA,9,3,2,7,3
c7f19a4a7a,dell,Inspiron 3520,17,3,4,11,4
49dff1014c,lenovo,Ideapad 1,31,1,1,11,3
a2640453f0,dell,Alienware M15,10,5,4,11,5
d348470c37,hp,240 G9,23,5,2,7,4
4bd7f78298,lenovo,Legion 5i,14,5,4,11,5
6de452cbf5,dell,inspiron 3501,14,3,2,11,3
2e6842e22e,lenovo,ThinkPad E16,7,3,4,11,4
37c5e95a9c,acer,Aspire 3,21,2,1,11,3
4601c773ae,lenovo,Flex 5,25,5,4,11,4
29c56e608d,acer,Aspire 5,82,3,2,11,4
b0a049e082,dell,Inspiron 3511,19,2,2,11,3
575af50503,lenovo,Legion Pro,20,8,6,12,5
7aff00b2ab,asus,TUF A15,14,5,4,11,4
9bb0fb009d,dell,Latitude E7480,20,3,2,7,3
c0d77e9896,lenovo,IdeaPad Flex,12,3,2,7,4
973fb76022,acer,NITRO 5,10,3,2,11,4
bb742ef5a1,acer,Aspire 5,17,3,2,7,4
7f8685869c,dell,Inspiron 3520,12,3,2,10,4
3b8ee92fd5,lenovo,Ideapad 1,11,3,2,7,3
c44b848c64,msi,Modern 15,11,3,2,11,4
418f8557dd,hp,Elite x360,10,5,4,4,4
a6838a922b,acer,Aspire A514,21,3,2,7,3
34d9570a6a,lenovo,LOQ Gaming,6,3,2,11,5
100249eb17,acer,Aspire 5,12,3,2,11,4
3edadfed2f,lenovo,Legion Slim,24,5,4,11,4
fbe5428090,acer,"Aspire 5,",16,3,2,11,4
50e367c895,lenovo,V14 Celeron,10,1,1,7,3
3a65de1c2c,hp,Probook 440,12,3,2,7,4
ad05f6eda9,lenovo,Ideapad 3,12,3,1,7,5
fa167b391c,acer,Aspire A14,22,3,2,7,4
9ae83ceec1,hp,15 i3,12,2,2,11,3
